er,fr
Are there other universes outside our own?,Y a-t-il d'autres univers en dehors du nôtre ?
Our true nationality is mankind.,"Notre véritable nationalité, c'est l'humanité."
Our new head office is in Tokyo.,Notre nouveau quartier général se trouve à Tokyo.
Our supply of food is exhausted.,Notre réserve de nourriture est épuisée.
The ice will crack beneath our weight.,La glace va craquer sous notre poids.
"Our income is small, but we get by.","Nos revenus sont maigres, mais on se débrouille."
Our debt is more than we can pay.,Notre dette est supérieure à ce que nous pouvons payer.
Our experiment went wrong last week.,Notre expérience s'est mal passée la semaine dernière.
Let's synchronize our watches.,Synchronisons nos montres.
Ours is a mechanical age.,Notre époque est l'époque des machines.
Our work is almost over.,Notre travail est presque terminé.
"After our first attack, the enemy fled.","Après notre première attaque, l'ennemi fuit."
Winter sports are very popular in our country.,Les sports d'hiver sont très populaires dans notre pays.
Our negotiations broke off.,Nos négociations ont rompu.
"Far from being a failure, our negotiation was a great success.","Loin d'être un échec, nos négociations ont été un grand succès."
I will help you for the sake of our old friendship.,Je vous aiderai au nom de notre vieille amitié.
Our project collapsed.,Notre projet s'est planté.
Our plans are taking shape.,Nos plans prennent forme.
Our ultimate goal is to establish world peace.,Notre ultime but est d'établir la paix dans le monde.
Our holiday plans are still up in the air.,Nous n'avons pas encore planifié nos vacances.
"From our point of view, his proposal is reasonable.","De notre point de vue, sa proposition est acceptable."
Our school is very close to the park.,Notre école est très proche du parc.
Our school prohibits us from going to the movies alone.,Notre école nous défend d'aller au cinéma seuls.
"Compared to our house, his is a palace.","Comparée à notre maison, la sienne est un palace."
It is very hard to get rid of cockroaches from our house.,Il est très difficile de se débarrasser des cafards de notre maison.
It is very hard to get rid of cockroaches from our house.,Il est très difficile de débarrasser notre maison des cafards.
Our yacht club has ten members.,Notre club nautique compte dix membres.
Our yacht club has ten members.,Notre cercle nautique compte dix membres.
Our country's climate is temperate.,Le climat de notre pays est tempéré.
Our team is winning.,Notre équipe est en train de gagner.
Our team is winning.,Notre équipe est en train de l'emporter.
Our team were wearing red shirts.,Notre équipe portait des maillots rouges.
Our team won the game.,Notre équipe a gagné le match.
Our team won the game.,Notre équipe a gagné la partie.
Our team is five points ahead.,Notre équipe a cinq points d'avance.
Our team is gaining ground.,Notre équipe gagne du terrain.
Our team is two points ahead.,Notre équipe a deux points d'avance.
"Initially we had some problems with our computer system, but they've been sorted out now.","Au début, notre système informatique a eu quelques difficultés, mais maintenant celles-ci sont réglées."
We are not short of oil in this country.,"Nous ne sommes pas à court de pétrole, dans ce pays."
More than one student studies French in our class.,Plus d'un étudiant étudie le français dans notre classe.
No other boy in our class is more studious than Jack.,Aucun autre garçon dans notre classe n'est plus studieux que Jack.
All our efforts were without result.,Tous nos efforts restèrent sans résultat.
"Give us the tools, and we'll finish the job.","Donnez-nous les outils, et nous finirons le travail."
"All we need now is action, not discussion.","Tout ce dont nous avons besoin maintenant est l'action, pas la discussion."
"The God who gave us life, gave us liberty at the same time.","Le Dieu qui nous a donné la vie, nous a donné également la liberté."
We had no alternative but to fight.,Nous n'avions pas d'autres choix que de nous battre.
It is not necessary for us to attend the meeting.,Il ne nous est pas nécessaire d'assister à la réunion.
Stay here with us.,Reste ici avec nous.
"We Germans fear God, but nothing else in the world.","Nous Allemands craignons Dieu, mais rien d'autre au monde."
We're getting nowhere with those problems.,Ces problèmes ne nous mènent à rien.
We were unable to make contact with them until it was too late.,Nous avons été incapables de les joindre jusqu'à ce qu'il soit trop tard.
"The church we went past crumbled five minutes later due to a huge earthquake, and more than a hundred churchgoers were buried alive.","L'église devant laquelle nous étions passés s'est écroulée cinq minutes plus tard, à cause d'un immense tremblement de terre et plus d'une centaine de fidèles furent enterrés vivants."
It is good for us to understand other cultures.,C'est une bonne chose pour nous de comprendre d'autres cultures.
Heat and light are necessary for our existence.,La chaleur et la lumière sont nécessaires à notre survie.
We have only a slender chance of success.,Les chances que nous avons de réussir sont minces.
What if we should fail?,Que se passera-t-il si nous devions échouer ?
"As we went around the corner, the lake came into view.","Alors que nous atteignions le coin, le lac nous apparut."
Our train had already pulled out when we arrived at the station.,Notre train était déjà parti lorsque nous arrivâmes à la gare.
Let us stop to think how much we depend upon atomic energy.,Arrêtons-nous pour réfléchir à combien nous dépendons de l'énergie atomique.
"To our great disappointment, the game was called off.","À notre grande déception, le jeu fut annulé."
My name is Hopkins.,Mon nom est Hopkins.
"Our company has a long, long history.",Notre entreprise a une très longue histoire.
The future of our company is at stake. We have been heavily in the red for the last couple of years.,L'avenir de l'entreprise est en jeu. Ça fait deux ans que nous sommes sérieusement dans le rouge.
Our company's base is in Tokyo.,Le siège de notre entreprise est à Tokyo.
We import coffee from Brazil.,Nous importons du café du Brésil.
Our troops were constantly attacked by the guerrillas.,Nos troupes étaient constamment harcelées par les guérilleros.
Our army took the kingdom by surprise.,Notre armée prit le royaume par surprise.
There's no place like home.,Il n'y a rien de comparable à sa maison.
My house needs major repairs.,Ma maison nécessite des réparations majeures.
There is a small garden in front of my house.,Il y a un petit jardin devant ma maison.
If only we had a garden!,Si seulement nous avions un jardin !
My wife holds the purse strings in our family.,C'est ma femme qui tient les cordons de la bourse dans notre famille.
Our team lost all its games.,Notre équipe a perdu tous ses matchs.
Our team lost the first game.,Notre équipe a perdu la première partie.
Our team lost the first game.,Notre équipe a perdu la première manche.
We are happy to have you join our team.,Nous sommes heureux que vous ayez rejoint notre équipe.
Can you explain why our team lost?,Pouvez-vous expliquer pourquoi notre équipe a perdu ?
A swarm of mosquitoes followed him.,Une nuée de moustiques le suivait.
They say that he hates to study.,On dit qu'il déteste étudier.
A mosquito just bit me.,Un moustique vient de me piquer.
His health has broken down because of overwork.,Sa santé s'est dégradée à cause du surmenage.
Eating too much fat is supposed to cause heart disease.,Manger trop gras est censé causer des maladies cardiaques.
We can record the past and present.,Nous pouvons enregistrer le passé et le présent.
It is considered impossible to travel back to the past.,Voyager dans le passé est considéré comme impossible.
Don't dwell on your past mistakes!,Ne ressasse pas tes erreurs passées !
Don't dwell on your past mistakes!,Ne ressassez pas vos erreurs passées !
Don't dwell on your past failures.,Ne ressasse pas tes erreurs passées.
Don't worry about the past.,Ne te soucie pas du passé.
Don't worry about the past.,Ne vous souciez pas du passé.
It's no use crying over spilt milk.,Ce qui est fait est fait.
Have you ever had any serious illness?,Avez-vous déjà eu une maladie grave ?
We haven't had a price increase in the last five years.,Nous n'avons pas connu d'augmentation de prix dans les cinq dernières années.
"In days gone by, things were different.","Autrefois, les choses étaient différentes."
It is no use crying over spilt milk.,Il ne sert à rien de pleurer sur le lait versé.
"As soon as our manager got off our backs, everything started to go off without a hitch.","Dès que notre chef a arrêté d'être sur notre dos, tout s'est déroulé sans problème."
Opinions are divided on the issue of taxes.,Les avis sont partagés sur la question des taxes.
Do you have anything to declare?,Avez-vous quelque chose à déclarer ?
"You cannot have your cake and eat it, too.",Tu ne peux pas avoir ton gâteau et le manger en même temps.
"You cannot have your cake and eat it, too.",On ne peut pas avoir le beurre et l'argent du beurre.
Please put your baggage on this scale.,Veuillez placer vos bagages sur cette balance.
Let me help you with your baggage.,Laissez-moi vous aider avec vos bagages.
Send your baggage in advance.,Envoyez vos bagages en avance.
The load was too heavy for a driver to carry alone.,Le chargement était trop lourd pour qu'un conducteur puisse le transporter seul.
How many bags do you have?,Combien de sacs avez-vous ?
How many bags do you have?,Combien de sacs as-tu ?
Where should I put my baggage?,Où devrais-je mettre mes bagages ?
Where can I get my baggage?,Où puis-je récupérer mes bagages ?
I have three pieces of baggage.,J'ai trois bagages.
Will you look after my baggage?,Surveilleras-tu mes bagages ?
Will you look after my baggage?,Surveillerez-vous mes bagages ?
"In case the shipment is delayed, we have special delay insurance.","En cas de retard de la cargaison, nous avons une assurance retard spéciale."
I'm allergic to pollen.,J'ai une allergie au pollen.
The flowers in the vase are roses.,Les fleurs dans le vase sont des roses.
I see a rare flower in the vase.,Je vois une fleur rare dans le vase.
The vase was broken to pieces.,Le vase était brisé en morceaux.
The vase crashed and shattered into pieces.,Le vase se brisa en mille morceaux.
Hanako is set on going to Paris.,Hanako est décidée à aller à Paris.
Hanako likes cake very much.,Hanako aime beaucoup le gâteau.
I can't wait for spring to come so we can sit under the cherry trees.,J'ai hâte que le printemps arrive afin que l'on puisse s'asseoir sous les cerisiers.
Bees are flying among the flowers.,Des abeilles volent au milieu des fleurs.
Blossoms have come out on the embankment.,Les fleurs fleurissent sur les rives.
All at once the bride burst into laughter.,Tout à coup la mariée éclata de rire.
The bride suddenly laughed.,La mariée s'est soudainement mise à rire.
Happy are those who love flowers.,Heureux sont ceux qui aiment les fleurs.
Happy are those who love flowers.,Heureux ceux qui aiment les fleurs.
A loaf of bread is better than the songs of birds.,Un « tiens » vaut mieux que deux « tu l'auras ».
Flowers and trees need clean air and fresh water.,Les fleurs et les arbres ont besoin d'air pur et d'eau fraîche.
Put some water into the vase.,Mets un peu d'eau dans le vase.
The flowers died for lack of water.,Les fleurs sont mortes par manque d'eau.
The flowers are beginning to grow and everything is becoming green.,Les fleurs commencent à pousser et tout devient vert.
The flowers revived after the rain.,Les fleurs se ravivèrent après la pluie.
They awarded her first prize at the flower show.,Ils lui remirent le premier prix au concours floral.
I've finished watering the flowers.,J'ai fini d'arroser les fleurs.
Many weeds were growing among the flowers.,Entre les fleurs poussaient beaucoup de mauvaises herbes.
We must water the flower.,Nous devons arroser la fleur.
Don't touch the flowers.,Ne touchez pas les fleurs.
The flower will come out soon.,La fleur va bientôt éclore.
Finishing the job by Tuesday will be a piece of cake.,Finir le travail pour mardi sera du gâteau.
Are you free on Tuesday?,Es-tu libre le mardi ?
Gunpowder needs to be handled very carefully.,La poudre à canon doit être manipulée avec beaucoup de précautions.
It won't be long before we can travel to Mars.,Ce ne sera plus long avant de pouvoir voyager vers Mars.
Mars is all the more interesting for its close resemblance to our Earth.,Mars est des plus intéressantes pour sa proche ressemblance avec notre terre.
It is said that there is no life on Mars.,On dit qu'il n'y a pas de vie sur Mars.
Is there any life on Mars?,Y a-t-il de la vie sur Mars ?
Is there any life on Mars?,Y a-t-il la moindre vie sur Mars ?
He contends that primitive life once existed on Mars.,Il affirme qu'une vie primitive a existé sur Mars.
A big crowd gathered at the scene of the fire.,Une foule importante s'est rassemblée sur le lieu de l'incendie.
It was not easy to put out the fire at once.,Ce ne fut pas facile d'éteindre le feu immédiatement.
The fire was extinguished at once.,Le feu fut rapidement éteint.
The fire was extinguished at once.,Le feu a immédiatement été éteint.
The fire broke out after the staff went home.,L'incendie se déclara après que les employés fussent rentrés chez eux.
"In case of fire, dial 119.","En cas d'incendie, composez le 119."
"In case of fire, use the stairs.","En cas d'incendie, veuillez utiliser les escaliers."
"In case of fire, use the stairs.","En cas d'incendie, utilisez les escaliers."
"In case of fire, break the glass and push the red button.","En cas d'incendie, brisez la vitre et appuyez sur le bouton rouge."
The cause of the fire is not known.,La cause de l'incendie est inconnue.
There is not much doubt about the cause of the fire.,Il n'y a pas trop de doutes à avoir quant au parcours du feu.
The cause of the fire was known.,La cause de l'incendie était connue.
"In case of fire, telephone the fire station.","En cas de feu, appelez la caserne de pompiers."
"In case of fire, break this window.","En cas d'incendie, brisez cette fenêtre."
I lost my shoe in the fire.,J'ai perdu ma chaussure dans l'incendie.
The fire consumed the whole building.,Le feu détruisit entièrement le bâtiment.
Fire! Run!,Au feu ! Courez !
The family had been sleeping for about two hours when the fire broke out.,Ça faisait deux heures que la famille dormait lorsque l'incendie se déclara.
My mother happened to be there when the fire broke out.,Ma mère se trouvait là par hasard lorsque le feu s'est déclaré.
My mother happened to be there when the fire broke out.,Ma mère se trouvait justement là lorsque le feu s'est déclaré.
The volcanic eruption threatened the village.,L'éruption volcanique menaça le village.
The fire alarm rang.,L'alarme incendie sonna.
"In case of fire, call 119.","En cas d'incendie, appelez le 119."
The mail train lost most of its mail in the fire.,Le train postal a perdu une bonne partie de son courrier dans l'incendie.
Twenty people perished in the blaze.,Vingt personnes ont péri dans l'incendie.
The origin of the fire is unknown.,L'origine de l'incendie est inconnue.
Don't forget to put out the fire.,N'oubliez pas d'éteindre le feu.
Never forget to put out the fire.,N'oublie jamais d'éteindre le feu.
Fire is very dangerous.,Le feu est très dangereux.
Fire burns.,Le feu brûle.
The fire started in the kitchen.,Le feu a commencé dans la cuisine.
The fire went out.,Le feu s'éteignit.
The fire went out by itself.,Le feu s'est éteint naturellement.
The house did not suffer much damage because the fire was quickly put out.,La maison n'a pas subi beaucoup de dégâts car le feu a été rapidement étouffé.
A fire can spread faster than you can run.,Un feu peut se propager plus rapidement qu'on ne peut courir.
Her cheeks were tinged with red by the warmth of fire.,Ses joues étaient teintées de rouge par la chaleur du feu.
There is no smoke without fire.,Pas de fumée sans feu.
It only adds fuel to the fire.,Ça ne fait qu'ajouter de l'huile sur le feu.
Keep away from the fire.,Reste à distance du feu.
Keep away from the fire.,Tiens-toi à distance du feu.
Keep away from the fire.,Tenez-vous à distance du feu.
Keep away from the fire.,Restez à distance du feu.
Keep away from the fire.,Restez loin du feu.
Stay away from the fire.,Reste à distance du feu.
Stay away from the fire.,Restez à distance du feu.
Stay away from the fire.,Restez loin du feu.
Be on your guard against fire.,Soyez vigilant quant au risque d'incendie.
Oxygen is needed for combustion.,L'oxygène est nécessaire à la combustion.
"As he had no way of making fire, he ate the fish raw.","Comme il n'avait aucune possibilité de faire du feu, il mangea le poisson cru."
Every rose has its thorns.,Il n'y a pas de roses sans épines.
The rivers were flooded by the heavy rain.,Les rivières débordèrent à cause des pluies torrentielles.
Kabuki is an old Japanese art.,Le Kabuki est un art japonais ancien.
Let us sing a song.,Chantons une chanson !
Let us sing a song.,Chantons une chanson.
Singing is her strong point.,Le chant est son point fort.
Do you like singing?,Aimes-tu chanter ?
Do you like singing?,Aimez-vous chanter ?
Everything comes to those who wait.,Tout vient à point à qui sait attendre.
Please help yourself to some fruit.,"Je vous en prie, servez-vous de fruits."
Please help yourself to the fruit.,"Je vous en prie, servez-vous de fruits."
Please help yourself to the fruit.,Prenez un fruit si vous le voulez.
Won't you have some fruit?,Ne prendriez-vous pas des fruits ?
Fruits decay in the sun.,Les fruits pourrissent au soleil.
Fruits tend to rot quickly.,Les fruits tendent à rapidement se décomposer.
Fruits have seeds in them.,Les fruits portent des graines.
Few flowers develop into fruit.,Peu de fleurs se transforment en fruit.
Fruit trees require a large amount of space in which to grow.,Les arbres fruitiers exigent beaucoup d'espace pour se développer.
I strolled along the streets to kill time.,J'ai flâné dans les rues pour passer le temps.
I strolled along the streets to kill time.,Je me suis promené le long des rues pour tuer le temps.
Let's play some video games to kill time.,Jouons à des jeux vidéo pour passer le temps.
"The more leisure he has, the happier he is.","Plus il a de loisirs, plus il est heureux."
You may go at your leisure.,Vous pouvez y aller quand vous voulez.
Read this book at your leisure.,"Quand vous serez libre, lisez ce livre."
"If you are free, come around to see me.","Si vous êtes libre, passez me voir."
Don't you have anything better to do?,N'avez-vous rien de mieux à faire ?
What do you do in your free time?,Que faites-vous de votre temps libre ?
What do you do in your free time?,Que fais-tu pendant ton temps libre ?
What do you do in your free time?,Que faites-vous pendant votre temps libre ?
Come and see me whenever you are free.,Venez me voir dès que vous êtes libre.
I'm free.,Je suis libre.
I'm free.,Je suis disponible.
Do this at your leisure.,Faites-le quand vous serez libre.
Scientific truth is a creation of the human mind.,La vérité scientifique est une création de l'esprit humain.
Scientific discoveries don't always make the world a better place.,Les découvertes scientifiques ne rendent pas toujours le monde meilleur.
Scientists seem to have known the truth.,Les scientifiques semblent avoir su la vérité.
"Scientists have been discovering new drugs, so there is always hope for someone in a coma.","Les scientifiques ont découvert de nouveaux médicaments, il y a donc toujours de l'espoir pour les personnes dans le coma."
Scientists can easily compute the distance between planets.,Les scientifiques peuvent facilement calculer la distance entre les planètes.
Some scientists predict that the world oil reserves will be used up within a century.,Certains scientifiques prévoient que les réserves mondiales de pétroles seront épuisées d'ici un siècle.
"According to scientists, the atmosphere is getting warmer year after year.","Selon les scientifiques, l'atmosphère se réchauffe d'année en année."
I am determined to be a scientist.,Je suis déterminé à devenir un scientifique.
Scientists began to find answers to these questions.,Les savants commencèrent à trouver les réponses à ces questions.
Scientists are fighting to stem the spread of the AIDS virus.,Les scientifiques se démènent pour arrêter la propagation du virus du sida.
It is not good for a scientist to get emotional.,Ce n'est pas bien pour un scientifique de devenir émotif.
"As scientists keep insisting, there is neither good nor bad in any scientific discovery.","Comme les scientifiques ne cessent de le dire, il n'y a ni bon ni mauvais dans aucune découverte scientifique."
Science has made remarkable progress.,La science a fait un progrès remarquable.
Science has brought about many changes in our lives.,La science a apporté de nombreuses choses à nos vies.
Science has made rapid progress in this century.,La science a fait des progrès rapides au cours de ce siècle.
I do not like science.,Je n'aime pas les sciences.
Advances in science don't always benefit humanity.,Les progrès de la science ne profitent pas toujours au genre humain.
The progress of science has brought about great change in our lives.,Les progrès de la Science ont apporté de grands changements dans nos vies.
Science does not solve all the problems of life.,La science ne résout pas tous les problèmes.
Science has not solved all the problems of life.,La science n'a pas résolu tous les problèmes de la vie.
"When science was less important than it is now, it was all very well to leave science to the scientists.","Lorsque la science était moins importante qu'elle ne l'est maintenant, c'était bien joli de laisser la science aux scientifiques."
"My wife will be glad to see you, too.","Ma femme sera heureuse de te voir, également."
"My wife often rings me up, while she travels abroad.",Ma femme m'appelle souvent pendant qu'elle voyage à l'étranger.
I'm sick of listening to her complaints.,J'en ai marre d'écouter ses plaintes.
I'm sick of listening to her complaints.,J'en ai ras le bol d'écouter ses récriminations.
My wife's part-time job brings in a little extra money.,Le travail à temps partiel de ma femme ramène un peu d'argent supplémentaire.
There is no place like home.,Il n'y a rien de tel que son chez-soi.
The spirit of patriotism has its source in the love of the family.,C'est dans l'amour de son foyer que l'amour de sa patrie prend sa source.
Are you happy in your house?,Êtes-vous heureux dans votre maison ?
Are you happy in your house?,Es-tu heureux dans ta maison ?
Are you happy in your house?,Es-tu heureuse dans ta maison ?
"Unable to pay the rent, I asked him for assistance.","Dans l'impossibilité de régler le loyer, je le priai de m'aider."
The rent is due tomorrow.,Le loyer est dû pour demain.
How much is the rent per month?,À combien se monte le loyer mensuel ?
How much is the monthly rate?,À combien s'élève le tarif mensuel ?
Our rent is four times as much as it was ten years ago.,Notre loyer est quatre fois plus élevé qu'il y a dix ans.
I rear cattle.,J'élève du bétail.
The cattle starved to death.,Le bétail est mort de faim.
Their cattle are all fat.,Leurs bovins sont tous gras.
All my family is very well.,Toute ma famille se porte bien.
The whole family got out of the car.,Toute la famille sortit de la voiture.
The family assimilated quickly into their new environment.,La famille s'adapta rapidement à son nouvel environnement.
We are a family of four.,Nous sommes une famille de quatre.
How is your family?,Comment va ta famille ?
How is your family?,Comment se porte votre famille ?
May you and your family be happy.,Que toi et ta famille soyez heureux.
May you and your family be happy.,Que vous et votre famille soyez heureux.
I'd like to call my family.,J'aimerais appeler ma famille.
My family will be away for a week.,Ma famille sera au loin pour une semaine.
My family will be away for a week.,Ma famille sera en déplacement pour une semaine.
I've always wanted to go to Australia with my family.,J'ai toujours voulu aller en Australie avec ma famille.
The landlord told him to leave because he hadn't paid his rent.,Le propriétaire lui a demandé de partir car il n'avait pas payé son loyer.
The landlord told me a cock and bull story about why we didn't have heat for three days.,Le propriétaire m'a raconté toute une histoire pour expliquer pourquoi nous n'avions pas de chauffage depuis trois jours.
More and more married couples share household chores.,De plus en plus de couples mariés se partagent les tâches ménagères.
"Having finished all her housework, she sat down on the sofa to watch television.","Après avoir fini le ménage, elle s'assit sur le canapé et regarda la télévision."
The furniture was dusty.,Le mobilier était poussiéreux.
All the furniture was covered with dust.,Tous les meubles étaient couverts de poussière.
I mortgaged my house.,J'ai hypothéqué ma maison.
We'll borrow some money on the house.,Nous emprunterons de l'argent en gageant la maison.
I'm getting a new house built.,Je me fais construire une nouvelle maison.
Don't forget to turn off the gas before you leave the house.,N'oubliez pas d'éteindre le gaz avant de quitter la maison.
"Before you leave home, make sure your pets have enough food.","Avant de quitter la maison, assure-toi que tes animaux de compagnie ont assez de nourriture."
I had no sooner left the house than it began to rain hard.,"Dès que j'ai quitté la maison, il a commencé à pleuvoir des cordes."
"As soon as I left home, it began to rain.","Dès que j'ai quitté la maison, il a commencé à pleuvoir."
I was leaving home when Tom telephoned me.,Je partais de chez moi lorsque Tom m'a téléphoné.
I was leaving home when Tom telephoned me.,Je partais de chez moi quand Tom me téléphona.
I had hardly left home when it began to rain heavily.,J'avais à peine quitté la maison lorsqu'il se mit à fortement pleuvoir.
"As I left the house, I remembered the key.","En sortant de la maison, je pensais à la clé."
Are we to remove our shoes before entering the house?,Devons-nous retirer nos chaussures avant d'entrer dans la maison ?
"On my way home, I came across an old friend.","En rentrant à la maison, j'ai rencontré un vieil ami."
Each house is within shouting distance of another.,Chaque maison est à distance de voix de l'autre.
A house is built on top of a solid foundation of cement.,Une maison est construite sur de solides fondations en ciment.
The house was in flames.,La maison était en flammes.
My house was on fire.,Ma maison était en feu.
"We have two cats; one is white, and the other is black.",Nous avons deux chats ; l'un est blanc et l'autre est noir.
The house burned down completely.,La maison était en cendres.
My backyard can hold more than ten people.,Ma cour peut accueillir plus de dix personnes.
I spent the holidays decorating the house.,J'ai passé les vacances à décorer la maison.
Let me show you around our house.,Laissez-moi vous faire visiter notre maison.
All was silent in the house.,Tout était silencieux dans la maison.
Every door in the house is locked.,Chaque porte dans la maison est verrouillée.
Every door in the house is locked.,Toutes les portes de la maison sont fermées.
A horse passed my house.,Un cheval passa devant chez moi.
A horse passed my house.,Un cheval est passé devant chez moi.
My son can count up to a hundred now.,Mon fils peut compter jusqu'à 100 maintenant.
My son can count up to a hundred now.,Mon fils peut compter jusqu'à cent maintenant.
A number of cars are parked in front of my house.,Plusieurs voitures sont garées devant chez moi.
There was a traffic accident in front of the house yesterday.,Il y a eu hier un accident devant la maison.
I had to help with the housework.,J'ai dû aider aux tâches ménagères.
There is a garden at the back of my house.,Il y a un jardin à l'arrière de ma maison.
There is a hut at the back of our house.,Il y a une hutte derrière notre maison.
Our dog buries its bones in the garden.,Notre chien enterre ses os dans le jardin.
Please wait outside of the house.,Veuillez attendre à l'extérieur de la maison.
Our family consists of five members.,Notre famille se compose de cinq personnes.
The rise in house prices enabled him to sell his house at a big profit.,La hausse des prix de l'immobilier lui a permis de vendre sa maison en faisant un gros profit.
This side of the house catches the morning sun.,Cette façade de la maison est exposée au soleil le matin.
The oven in my house didn't run well today.,Le four de ma maison ne fonctionne pas très bien aujourd'hui.
She scraped her shoes clean before she entered the house.,Elle a essuyé ses chaussures avant d'entrer dans la maison.
Can you deliver it to my house?,Pouvez-vous le livrer chez moi ?
Scarcely had I reached home before the telephone rang.,J'étais à peine arrivé à la maison que le téléphone sonnait.
Arrive home.,Arriver à la maison.
It was not until I reached home that I missed my purse.,C'est après être arrivé à la maison que j'ai oublié mon porte-monnaie.
I will give you a call as soon as I get home.,Je vous appellerai dès mon retour à la maison.
I had barely got home when the storm broke.,J'étais à peine rentré à la maison lorsque la tempête éclata.
"When I got home, I found I had lost my wallet.","Lorsque je suis arrivé à la maison, je me suis rendu compte que j'avais perdu mon porte-monnaie."
We're goin' home.,On rentre chez nous.
Let me know when you'll return home.,Dites-moi quand vous allez retourner chez vous.
"On her way home, Mary came across John.","En revenant à la maison, Marie a croisé John."
"When I came home, I felt very hungry.","Quand je suis rentrée, j'avais très faim."
"When I came home, I felt very hungry.","Quand je suis rentré, j'avais très faim."
My advice is for you to go home.,Je te conseille de rentrer à la maison.
There was much food in the house.,Il y avait beaucoup de nourriture dans la maison.
We had a lot of furniture.,Nous avions beaucoup de meubles chez nous.
We have two television sets.,Nous avons deux postes de télévision.
We have two television sets.,Nous avons deux téléviseurs.
He is away from home.,Il est loin de chez lui.
I left my card at home.,J'ai oublié ma carte de crédit à la maison.
I have spent a lot of money on my house.,J'ai dépensé beaucoup d'argent pour ma maison.
I prefer going out to staying at home.,Je préfère sortir que rester à la maison.
I prefer going out to staying at home.,Je préfère sortir que de rester à la maison.
Staying home isn't fun.,Rester chez soi n'a rien d'amusant.
Staying home isn't fun.,Rester chez soi n'est pas marrant.
When I'm at home there's a lot of stuff to do; I don't even have time to watch TV.,"Quand je suis à la maison, j'ai beaucoup de choses à faire ; je n'ai même pas le temps de regarder la télé."
I would rather stay at home.,Je préférerais rester à la maison.
"As soon as he felt his house shake, he rushed out into the garden.","Aussitôt qu'il sentit sa maison trembler, il se précipita dans le jardin."
I felt the house shake.,J'ai senti la maison bouger.
Don't you feel the house shaking?,Tu ne sens pas la maison trembler ?
The house is on fire.,La maison est en train de brûler.
Several houses were carried away by the great flood.,De plusieurs maisons furent emportées par la crue.
The house was carried away by the flood.,La maison a été emportée par l'inondation.
The house is on fire!,La maison brûle !
How long does it take to go to the office from your home?,Combien de temps faut-il pour aller du bureau à votre maison ?
I see the tower from my house.,Je vois la tour de chez moi.
I have three daughters to marry off.,J'ai trois filles à marier.
The summer goods are now on sale.,Les produits d'été sont maintenant en vente.
Why don't you wear summer clothes?,Pourquoi ne portes-tu pas de vêtements d'été ?
I usually went to bed at ten during the summer vacation.,J'allais au lit à dix heures lors des vacances d'été.
Summer vacation is near. Can you think of a good place for the holidays?,Les vacances d'été approchent. Est-ce que tu connaîtrais un bon endroit pour passer les vacances ?
We have five days to go before the summer vacation.,Il nous reste cinq jours avant les vacances d'été.
Did you go anywhere during the summer vacation?,Êtes-vous allé quelque part pendant les vacances d'été ?
Did you go anywhere during the summer vacation?,Es-tu allé quelque part pendant les vacances d'été ?
Did you go anywhere during the summer vacation?,Es-tu allée quelque part pendant les vacances d'été ?
Did you go anywhere during the summer vacation?,Êtes-vous allée quelque part pendant les vacances d'été ?
Did you go anywhere during the summer vacation?,Êtes-vous allées quelque part pendant les vacances d'été ?
Did you go anywhere during the summer vacation?,Êtes-vous allés quelque part pendant les vacances d'été ?
How was your summer vacation?,Comment se sont passées tes vacances d'été ?
The summer vacation begins in July.,Les vacances d'été commencent en juillet.
Our plans for the summer are taking shape.,Nos plans pour l'été prennent forme.
I worked in a post office during the summer vacation.,Je travaillais dans une poste pendant les vacances d'été.
I worked in a post office during the summer vacation.,J'ai travaillé dans un service postal durant les congés d'été.
I'm going away for the summer holiday.,Je m'en vais pour les vacances d'été.
Many young people go abroad during summer vacation.,Plein de jeunes gens vont à l'étranger pendant leurs vacances d'été.
The summer vacation is over.,Les vacances d'été sont passées.
The summer vacation is over.,Les congés d'été sont passés.
The summer had gone before I knew it.,L'été était passé avant que je m'en aperçoive.
Do you like summer?,Aimez-vous l'été ?
Do you like summer?,Aimes-tu l'été ?
Summer is the season I like best.,L'été est la saison que je préfère.
"In summer, when we sweat more often, it is essential to drink lots of water.","En été, il est essentiel de boire beaucoup d'eau lorsque l'on transpire."
The summer is over.,L'été est terminé.
My plan for the summer is to go to Europe.,Mon plan pour l'été est de me rendre en Europe.
"During summers, I used to go to Miami.",Les étés j'allais d'habitude à Miami.
My father implied our summer trip was arranged.,Mon père a sous-entendu que notre voyage estival était arrangé.
We cannot sleep well on summer nights.,Nous n'arrivons pas à dormir bien les nuits d'été.
There are more cars on the road in the summer than in the winter.,Il y a plus de voitures sur la route en été qu'en hiver.
There are more cars on the road in the summer than in the winter.,Il y a davantage de voitures sur la route en été qu'en hiver.
"Summer days can be very, very hot.",Il fait parfois extrêmement chaud en été.
"Summer days can be very, very hot.",Les jours d'été peuvent être extrêmement chauds.
I was in London most of the summer.,J'étais à Londres presque tout l'été.
The summer sun glared down on us.,Le soleil d'été tapait sur nous.
I'm already accustomed to the heat of summer.,Je suis déjà habitué à la chaleur estivale.
We live in the country during the summer.,Nous vivons à la campagne durant l'été.
She took a job in a store for the summer.,Elle a pris un emploi dans un magasin pour l'été.
I would like to join the summer camp.,J'aimerais rejoindre le camp d'été.
